hh_id,age,gender,employment,education,student,num_people,num_surveyable,num_participants,num_adults,num_kids,num_workers,num_students,num_vehicles,num_bicycle,income_detailed,residence_type,residence_rent_own,home_tract_2020,num_jobs,job_type,occupation,industry,work_flex,commute_freq,telework_freq,work_tract_2020,transit_pass_0,transit_pass_1,transit_pass_2,transit_pass_3,transit_pass_4,transit_pass_5,transit_fare_program_1,transit_fare_program_2,transit_fare_program_3,transit_fare_program_4,transit_fare_program_5,transit_fare_program_6,transit_fare_program_7,transit_fare_program_8,limits,can_drive,disability,transit_freq,person_weight
24009802,7,1,1,7,2,4,4,2,2,2,2,0,2,1,10,1,2,17031430300,2,1,8,6,0,2,996,17031750500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,8,4476.714
24010005,9,2,3,3,2,2,2,2,2,0,2,0,1,0,8,1,2,17031140702,1,3,4,4,1,995,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2387.7793
24010005,9,2,2,6,2,2,2,2,2,0,2,0,1,0,8,1,2,17031140702,1,1,18,4,0,6,996,17031806801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,6,2387.7793
24010025,8,2,1,7,2,2,2,2,2,0,1,0,2,3,999,1,2,17031381200,2,7,16,6,1,6,3,17031320102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4022.0708
24010121,8,1,1,2,2,1,1,1,1,0,1,0,1,1,6,2,3,17031837300,1,3,24,9,0,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,420.2846
24010190,7,2,1,7,2,4,4,2,2,2,2,0,2,2,10,1,2,17031190800,1,1,8,6,0,2,996,17031071200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,655.8568
24010190,7,1,1,6,2,4,4,2,2,2,2,0,2,2,10,1,2,17031190800,1,1,12,8,0,2,996,17031843700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,655.8568
24011323,9,1,1,5,2,2,2,2,2,0,2,0,1,0,5,3,3,17031231200,1,1,11,8,1,4,996,17031320102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2832.033
24011323,10,2,2,5,2,2,2,2,2,0,2,0,1,0,5,3,3,17031231200,1,1,6,20,1,3,996,17031842300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,2832.033
24011458,5,2,1,2,2,4,4,4,4,0,2,1,1,3,4,3,3,17031630600,1,1,10,1,1,2,996,17031832600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1641.6821
